id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
384461,"Cliffhanger, traque au sommet",1993-05-20,582,453,47,1087,43,103,227,490,1068,1605,1049,326,63,28
413007,Doom,2005-10-20,372,365,89,816,448,879,1141,1038,765,464,182,61,13,11
399603,Astérix et les Vikings,2006-04-05,536,337,35,552,46,143,265,608,1460,1520,736,170,30,25
380672,À tombeau ouvert,1999-10-22,691,2654,42,1762,15,32,74,187,461,1035,1659,1116,345,81
419113,Rebecca,1940-03-21,767,2251,60,2336,6,8,18,47,146,505,1467,1789,746,273
383027,La Nuit américaine,1973-05-24,751,2718,56,2010,13,13,27,72,191,518,1454,1701,768,250
497597,40 ans : Mode d'emploi,2012-12-21,553,706,130,850,83,202,364,675,1081,1409,821,293,61,19
442502,The Murderer,2010-12-22,707,3197,132,1858,7,10,53,119,287,905,1867,1411,296,57
465922,Horton,2008-04-02,550,385,40,504,67,150,314,634,1091,1338,949,333,97,42
474618,Les Randonneurs,1997-03-12,524,238,16,451,98,183,412,715,1223,1449,765,152,18,1
366579,Dans la brume électrique,2009-04-15,643,1177,76,850,28,59,143,262,609,1304,1595,814,170,33
492194,Shoot'Em Up,2007-09-07,558,621,72,765,140,212,334,577,921,1233,1050,432,95,30
370578,La Rose pourpre du Caire,1985-03-01,741,2395,39,2021,4,10,27,87,213,650,1592,1617,639,188
399477,Les Dix Commandements,1956-10-05,711,1509,45,2118,14,23,37,130,420,953,1673,1139,420,220
487259,Basketball Diaries,1995-04-21,688,2756,20,1557,8,14,38,146,369,1052,1782,1174,344,109
442420,Comme des frères,2012-11-21,640,884,101,790,26,59,126,246,548,1170,1672,847,266,79
21010044,Hitman & Bodyguard,2017-08-23,593,1072,104,1199,33,76,161,354,891,1644,1326,431,84,41
407176,Peter et Elliott le Dragon,1977-11-03,616,508,20,790,40,57,126,323,870,1594,1310,521,121,80
491831,Le Cabinet du docteur Caligari,1920-02-26,771,3645,55,2370,9,21,22,53,168,464,1441,1753,793,320
487251,La Folle Histoire de l'espace,1987-06-24,629,1318,43,1263,31,87,153,329,668,1304,1481,724,179,89
455752,Evan tout-puissant,2007-06-22,407,256,27,415,275,593,986,1149,1008,697,256,67,15,8
13231839,Nos pires voisins 2,2016-05-13,491,599,52,814,107,256,521,899,1367,1176,513,159,24,32
429890,Vampires,1998-04-15,626,1119,60,1704,33,82,174,333,752,1470,1490,567,121,35
446737,Vipère au poing,2004-10-06,590,415,26,429,37,57,159,402,939,1622,1247,470,91,37
488835,After Hours,1985-10-11,740,3165,58,2030,7,12,37,68,180,655,1734,1673,531,164
479031,Appaloosa,2008-10-01,638,1276,85,1088,21,27,112,265,697,1524,1661,634,101,22
419039,Le Garçon au pyjama rayé,2009-08-12,722,2280,69,1001,20,20,33,86,188,698,1682,1648,502,194
390241,"Anaconda, le prédateur",1997-04-11,393,241,36,662,405,793,1070,1005,933,578,205,53,17,13
380965,Dangereusement vôtre,1985-05-24,594,568,72,1273,23,61,152,428,1053,1763,1165,348,58,29
441564,Epic : La Bataille du royaume secret,2013-05-24,601,644,137,874,24,66,173,366,902,1564,1343,490,120,32
397276,Cinema Paradiso,1988-11-17,753,2393,58,1710,8,10,26,66,189,517,1435,1664,792,374
457328,Hitchcock,2012-12-14,586,1703,162,1035,32,94,185,459,951,1605,1277,408,52,20
463894,Rush Hour 3,2007-10-17,448,239,37,494,198,423,685,1034,1139,936,459,156,25,29
418419,Un heureux événement,2011-09-28,589,626,118,591,39,83,204,434,935,1529,1253,459,115,37
399470,Steamboy,2004-07-17,687,2253,36,915,3,10,36,120,441,1160,1952,1057,257,55
424792,Pédale douce,1996-03-27,480,230,20,440,209,363,601,860,1098,1050,629,222,39,21
388582,American Pie présente : No Limit !,2005-10-31,366,176,25,341,573,787,944,968,858,590,253,81,20,19
8462753,L'Inconnu du lac,2013-06-12,648,2331,130,1478,78,97,158,324,614,959,1401,1023,343,97
437571,Chicken Little,2005-12-07,475,299,30,637,139,320,607,963,1319,1079,498,129,27,15
403105,2 sœurs,2003-06-13,682,2856,68,2085,24,60,88,180,477,971,1641,1143,369,144
13084069,Unfriended,2015-04-17,505,755,148,842,228,318,514,797,1004,1161,774,235,40,26
403826,Le Corbeau,1943-09-28,796,3637,68,2592,10,5,13,30,98,302,1250,2031,1044,316
18754638,Sing Street,2016-03-17,733,2806,92,1612,2,9,23,55,201,681,1707,1732,520,174
381150,L'Homme bicentenaire,1999-12-17,657,1843,47,1406,25,48,129,240,523,1148,1525,935,371,165
485986,Arizona Junior,1987-03-06,698,2154,50,2146,11,25,40,81,334,1070,2090,1136,256,66
397797,From Paris With Love,2010-02-17,458,349,85,425,259,430,680,887,1111,977,553,157,41,15
374566,"Bloodsport, tous les coups sont permis",1988-02-26,628,1092,68,1459,50,63,140,294,738,1342,1407,716,212,150
489599,Pulsions,1980-07-25,744,4349,93,3005,21,10,41,86,241,611,1692,1686,564,160
8367622,Le Passé,2013-05-17,680,2356,165,1323,14,41,101,212,421,993,1633,1299,336,63
381369,Cogan : Killing Them Softly,2012-11-30,583,1301,198,871,54,131,296,543,965,1415,1143,462,85,20
440483,Frangins malgré eux,2008-07-25,626,907,54,1319,79,124,225,342,631,1263,1385,727,249,90
437732,"Bébé, mode d'emploi",2010-12-08,505,293,59,451,122,241,439,771,1219,1234,715,278,66,31
8814843,Sex Tape,2014-07-02,386,333,76,549,426,685,943,1119,973,621,258,54,14,23
29237761,Sale temps à l'hôtel El Royale,2018-11-07,652,3080,94,1453,12,24,99,212,585,1327,1801,858,165,34
402503,Le Professionnel,1981-10-21,658,1042,48,1053,24,39,106,214,550,1186,1724,926,259,90
474839,Elle s'appelait Sarah,2010-10-13,655,1075,83,645,26,44,70,180,531,1190,1721,994,254,113
368867,Le Tour du monde en 80 jours,2004-06-13,473,246,25,664,154,297,589,980,1247,1077,572,154,31,26
420274,American Pie présente : Campus en folie,2007-12-10,385,177,26,303,564,669,874,919,894,673,367,125,26,24
8247153,Hôtel Transylvanie 2,2015-09-25,576,654,76,897,32,93,187,455,1103,1708,1096,343,81,43
393969,Playtime,1967-12-16,772,3356,72,2036,19,20,56,120,260,487,1106,1525,1002,551
384873,"Halal, police d'État",2011-02-16,347,277,99,511,916,947,910,810,670,513,251,86,20,25
487716,L'Étrange Pouvoir de Norman,2012-08-22,673,1246,128,1276,14,35,68,195,522,1227,1818,947,271,62
488269,Immortel (ad vitam),2004-03-24,522,873,56,608,169,292,419,747,1023,1208,816,356,99,31
24514376,It Comes At Night,2017-08-25,601,2712,142,1567,63,111,215,471,891,1387,1357,557,82,27
25453855,Happy Birthdead,2017-11-15,552,1227,142,1058,70,156,315,584,1078,1526,992,255,69,116
412257,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003-05-28,759,1643,52,977,6,10,29,78,170,519,1514,1727,733,381
11899387,À vif !,2015-10-22,541,961,75,732,55,146,305,670,1289,1574,851,215,44,19
442771,Les Sous-doués en vacances,1982-03-10,451,195,18,503,283,447,679,1010,1100,979,475,149,28,25
485043,Les Ailes du désir,1987-09-23,763,3634,71,2192,20,28,65,100,235,470,1045,1546,1063,611
443241,Fantômas contre Scotland Yard,1967-03-16,593,318,24,818,46,91,178,407,909,1604,1264,480,125,82
465083,La Party,1968-04-04,743,2009,88,1466,13,25,70,146,259,617,1383,1551,808,315
369135,Fahrenheit 451,1966-09-15,696,3494,52,1333,12,26,44,163,349,1015,1869,1194,385,149
10902243,Strictly Criminal,2015-09-17,608,2296,138,1326,21,46,120,353,877,1672,1528,492,70,28
1316257,Colombiana,2011-07-27,501,523,114,574,139,250,499,808,1114,1262,770,257,64,47
429116,Crash,1996-07-17,670,3635,61,1994,73,82,168,283,570,999,1404,1011,429,192
366104,L'Homme qui en savait trop,1956-05-16,742,2077,45,2248,5,3,19,61,189,668,1922,1720,490,143
427571,Deep Impact,1998-05-08,496,531,46,887,104,298,539,989,1300,1150,616,174,32,19
414812,Solaris,2002-11-27,577,1953,75,1235,96,164,272,553,944,1392,1119,485,151,46
377415,Monstres contre Aliens,2009-04-01,543,404,44,671,63,121,314,706,1360,1557,821,225,37,20
403341,Royal Affair,2012-03-29,726,2669,117,1576,3,11,29,79,207,733,1962,1622,455,131
478811,Le Dernier Empereur,1987-10-23,733,2305,41,1566,5,13,24,84,246,774,1786,1630,513,157
467716,L'Île aux fleurs,1989-00-00,802,1351,42,950,12,14,15,27,85,239,992,2005,1304,542
415024,Agathe Cléry,2008-12-03,325,222,52,503,1030,1017,943,830,682,476,187,54,14,5
32108628,Girl,2018-10-10,709,4472,95,1467,35,14,43,98,254,715,1784,1634,543,118
375308,La Fureur du dragon,1972-06-01,694,1038,46,1429,12,21,56,134,395,1046,1987,1145,317,133
402207,"Belphégor, le fantôme du Louvre",2001-04-04,326,257,24,479,856,1092,1098,913,659,422,161,37,4,4
447036,Bad Taste,1987-12-11,664,2795,57,1854,51,84,132,231,534,1120,1635,964,353,142
455611,L'Illusionniste,2010-06-16,700,2467,105,893,13,30,57,152,383,948,1787,1309,437,138
486980,Paycheck,2003-12-25,529,602,43,949,87,201,446,720,1194,1420,875,251,43,17
416307,Hostel : Chapitre II,2007-06-07,520,492,69,853,183,291,468,801,1148,1194,787,284,73,28
489788,Au service secret de Sa Majesté,1969-12-13,640,753,89,1830,23,57,138,322,771,1468,1461,719,211,87
480753,The Fall,2008-01-03,748,5697,115,1924,12,22,62,116,229,613,1277,1660,866,407
368125,S.W.A.T. - Unité d'élite,2003-12-03,453,250,31,484,169,432,778,1095,1206,987,462,104,21,11
361980,Paddington,2014-11-28,627,684,115,1070,23,61,111,263,713,1584,1691,644,126,57
497707,Largo Winch II,2011-02-16,478,350,94,413,188,322,568,981,1219,1180,624,158,23,11
362069,La Prisonnière du désert,1956-05-16,771,3065,88,3689,17,22,38,71,220,607,1445,1583,798,476
390876,L'Espion qui m'aimait,1977-07-13,637,626,73,1863,11,29,67,242,805,1774,1621,563,109,59
436614,Cry-Baby,1990-04-06,679,1893,46,1205,23,48,79,190,455,1108,1745,1106,384,142
11174167,Snow Therapy,2014-08-15,641,3745,140,1137,30,59,166,304,617,1279,1600,935,234,57
446507,On connaît la chanson,1997-11-12,677,1096,39,1385,18,53,94,225,427,1093,1720,1174,354,130
469282,Vendredi 13,1980-05-09,574,1134,90,1873,53,129,257,513,1142,1576,1093,382,81,62
404920,On a retrouvé la 7ème compagnie,1975-12-10,617,307,21,637,64,93,149,308,716,1347,1556,735,200,131
392920,Les Diamants sont éternels,1971-12-14,616,605,70,1365,17,50,130,303,947,1831,1508,435,60,21
388527,Malcolm X,1992-11-18,708,3847,27,1551,9,18,43,89,291,973,2070,1302,383,126
481838,Écrire pour exister,2007-03-14,674,1211,57,715,25,38,77,200,396,1002,1692,1158,450,266
33812459,Mon inconnue,2019-04-03,685,2044,100,1433,18,18,47,123,331,1116,2030,1251,281,94
1375557,L'Aventure intérieure,1987-07-01,681,1006,42,1360,8,12,50,166,451,1332,2176,882,169,68
394489,À l'aube du 6ème jour,2000-11-17,521,539,40,621,95,210,439,819,1323,1441,736,202,35,15
463435,Le Scaphandre et le Papillon,2007-05-23,718,3212,49,1431,18,33,50,98,279,725,1793,1702,485,134
486196,Les Compères,1983-11-23,631,486,31,1034,21,33,79,238,719,1803,1711,562,113,39
440654,Mon beau-père et nous,2010-12-22,499,363,80,677,97,203,493,976,1494,1285,583,147,29,18
491551,Monster House,2006-06-15,616,623,39,647,25,53,155,348,873,1707,1508,528,93,35
433349,Baby-sittor,2005-06-08,397,193,29,360,449,716,888,1028,1005,724,368,105,19,28
387624,Pusher II : Du sang sur les mains,2004-12-25,778,3183,69,2649,7,4,19,44,125,435,1462,2118,866,253
389147,40 jours et 40 nuits,2002-03-01,435,261,22,321,280,542,835,1155,1201,881,334,74,22,10
433654,"Paris, je t'aime",2006-06-21,614,1701,58,943,35,94,161,325,898,1472,1407,694,185,65
8844541,Quai d'Orsay,2013-11-06,613,1198,153,1180,43,88,174,387,796,1542,1588,596,95,27
419023,Star Wars : The Clone Wars,2008-08-27,554,594,47,830,95,175,286,527,1108,1559,1103,369,65,53
405784,Repo Men,2010-07-14,591,874,113,721,46,110,210,529,965,1528,1320,512,100,26
8317383,La Chute de la Maison Blanche,2013-03-20,510,547,195,944,133,276,493,782,1225,1272,824,265,46,32
457207,Les Fugitifs,1986-12-17,641,618,24,1032,14,21,78,207,685,1730,1814,634,128,43
414562,Resident Evil : Retribution,2012-09-12,357,364,170,1080,850,929,974,870,718,528,296,122,43,34
13437567,Eddie the Eagle,2016-02-26,696,2113,81,1299,4,15,39,102,315,1097,2224,1205,271,92
422490,[REC]³ Genesis,2012-03-09,399,430,204,907,544,812,1041,964,871,630,346,122,25,14
376648,Dans ses yeux,2009-08-13,760,2837,117,1625,11,16,21,66,172,472,1409,2002,936,265
391401,Away We Go,2009-11-04,651,2443,98,878,22,60,92,243,591,1296,1785,922,293,66
479009,Click,2006-10-04,477,305,55,562,254,437,633,900,1148,1048,661,212,51,28
19177024,Triple frontière,2019-03-13,591,998,87,1190,34,74,216,472,1107,1846,1317,264,30,16
25801612,Game Night,2018-04-18,620,1030,76,1382,24,44,127,315,816,1842,1644,482,62,21
8175058,Le Congrès,2013-07-03,707,4973,131,2061,25,41,106,195,443,896,1449,1306,701,219
410666,Au cœur de l'océan,2015-12-03,623,2320,150,1646,29,39,107,328,792,1683,1741,552,81,33
492365,American Pie présente : String Academy,2006-12-01,371,172,26,337,634,734,1011,948,930,664,335,91,23,20
11901804,Le Chasseur et la Reine des glaces,2016-04-04,491,881,107,1058,102,267,547,933,1353,1259,647,204,46,32
12932675,La Grande Muraille,2017-01-11,469,1032,163,1195,181,340,732,1046,1296,1051,521,167,28,28
463699,La Piscine,1969-01-31,699,2354,60,1270,13,17,51,121,360,952,1960,1390,423,118
17004926,La Loi de la jungle,2016-06-15,665,3035,88,1786,48,72,160,247,548,1037,1704,1197,308,87
368281,"Freddy, les griffes de la nuit",2010-04-30,453,548,108,937,263,452,738,1066,1126,934,545,205,44,36
26926715,Black Mirror : Blanc comme neige,2014-12-16,831,992,12,205,16,6,18,23,58,186,668,1879,1979,576
36388266,Hors Normes,2019-10-23,738,3233,106,1633,5,12,16,44,116,502,1696,2012,761,246
404331,Joint Security Area,2000-09-09,782,4990,84,3309,5,2,14,25,104,343,1361,2332,997,231
379376,On ne vit que deux fois,1967-06-13,647,676,82,1738,15,25,63,198,683,1747,1963,578,109,34
384030,Innocents,2003-12-10,654,2925,51,1165,37,68,145,239,547,1163,1600,1064,379,175
474166,Le Royaume de Ga'Hoole : La Légende des gardiens,2010-09-23,627,996,145,1051,41,56,160,364,753,1504,1581,710,182,68
456936,"Sans Sarah, rien ne va !",2008-04-18,555,538,52,777,120,189,350,638,1151,1489,1059,346,57,22
378425,Lock Out,2012-04-12,464,583,191,692,194,432,696,1031,1288,1094,495,151,37,12
497204,Voyage au centre de la Terre 3D,2008-07-16,454,211,57,520,191,442,688,1077,1254,1055,518,146,40,24
384635,Les Enfants du paradis,1945-03-15,821,4855,73,3134,12,14,28,48,137,294,778,1481,1483,1161
422900,Tootsie,1982-12-17,686,1374,37,1446,15,15,45,110,463,1266,2102,1074,258,89
373684,Le Locataire,1976-05-26,768,5242,69,2794,9,9,32,77,186,527,1471,1968,872,301
399424,Le Guépard,1963-03-28,759,3931,65,2965,14,36,53,106,281,637,1323,1604,906,493
396698,Chicago,2002-12-10,624,1214,28,1400,50,88,178,378,742,1253,1439,909,308,112
492472,Bad Lieutenant,1992-12-17,707,3322,74,1776,17,46,109,214,425,857,1662,1366,574,188
488609,Crazy Night,2010-05-12,528,493,89,627,70,197,383,837,1460,1569,742,164,25,12
402373,Harakiri,1962-09-16,861,9614,87,4357,20,3,14,24,58,179,579,1572,1928,1083
374999,Disjoncté,1996-06-14,595,881,45,1161,45,128,235,494,959,1611,1364,502,90,36
399729,L'Été de Kikujiro,1999-06-05,782,4343,77,2605,9,9,13,37,137,440,1368,2057,1049,354
370124,Empire du soleil,1987-12-09,715,4348,61,2595,18,14,52,122,336,915,1927,1393,485,213
394340,L'Inconnu du Nord-Express,1951-06-30,767,2573,61,2762,3,4,3,29,117,499,1827,2142,677,174
476011,Vive la France,2013-02-20,365,233,99,526,720,863,981,1045,848,610,280,90,22,17
477726,Les Vacances de M. Hulot,1953-02-25,734,1902,49,1569,20,38,56,142,315,634,1638,1643,710,283
426205,Amer béton,2006-12-23,772,3187,49,1581,5,10,27,58,158,470,1190,1824,1185,553
1350133,Chungking Express,1994-07-14,781,4235,74,2794,7,16,29,59,177,470,1159,1863,1171,531
1324731,L'Homme qui voulait vivre sa vie,2010-11-03,610,1205,151,622,34,85,183,387,848,1569,1581,616,142,39
424396,Jusqu'à ce que la fin du monde nous sépare,2012-06-22,610,1757,156,1068,44,103,169,447,848,1647,1468,583,134,42
389778,Le Gendarme en balade,1970-10-28,533,269,24,685,119,230,335,654,1297,1329,987,364,99,75
492696,Team America : Police du monde,2004-10-15,670,1220,61,783,60,93,133,246,491,1130,1759,1153,321,108
497766,R.I.P.D. Brigade Fantôme,2013-07-19,456,396,137,771,206,417,708,1151,1239,1119,496,121,21,20
447484,Un flic à la maternelle,1990-12-20,515,355,51,907,137,306,512,788,1272,1377,807,221,60,23
12695877,Avant toi,2016-06-02,632,1177,87,891,47,79,146,335,618,1305,1544,908,351,173
415055,Hanna,2011-07-06,628,1674,175,1127,23,79,171,357,781,1475,1724,687,172,42
35350284,Portrait de la jeune fille en feu,2019-09-18,750,6164,125,2773,20,31,33,118,243,527,1222,1815,1068,434
24858092,Nous finirons ensemble,2019-05-01,579,1388,97,1167,78,117,264,440,845,1451,1417,681,171,56
388851,Air Force One,1997-07-25,490,371,44,902,185,353,559,927,1334,1244,683,183,34,19
1307772,La Dame de Fer,2012-02-15,556,1597,159,892,68,141,284,582,1232,1537,1155,410,94,18
450449,Domino,2005-11-23,561,932,50,844,101,173,337,686,1141,1431,1051,467,89,46
451176,Tenue de soirée,1986-04-23,714,2409,43,1580,19,29,60,132,331,830,1862,1571,524,166
417847,Wall Street,1987-12-11,686,1778,55,1654,13,19,31,153,420,1252,2300,1079,202,63
370775,"Punch-Drunk Love, ivre d'amour",2002-10-11,682,3183,72,1708,44,66,120,273,455,1038,1694,1232,452,159
436618,"Cours, Lola, cours",1998-08-20,667,1882,55,1023,24,58,119,214,591,1248,1807,1085,289,100
488130,Sexy Dance,2006-11-15,508,251,23,573,162,275,442,733,1172,1297,914,381,101,61
19338644,Miss Sloane,2017-03-08,678,3460,110,1434,14,28,49,196,425,1183,2101,1182,287,81
489312,Le Limier,1972-12-10,819,6583,99,3460,22,7,17,34,78,269,952,2003,1585,583
10697872,L'Affaire SK1,2015-01-07,661,1639,155,1296,8,26,72,189,516,1449,2174,893,194,29
469486,Le Come Back,2007-02-09,563,524,55,766,66,131,297,577,1191,1651,1099,400,98,42
431296,La Horde sauvage,1969-06-18,784,4645,104,3924,16,15,27,64,184,512,1326,1914,1076,419
387853,"Oslo, 31 août",2011-08-31,734,4669,122,1952,19,24,63,118,296,660,1518,1785,811,260
368210,The Immigrant,2014-05-16,600,2376,128,1516,24,72,171,466,1110,1726,1351,503,111,22
440428,La Fièvre du samedi soir,1977-12-16,607,971,31,1083,35,92,188,424,931,1704,1446,554,129,57
487463,"Cowboy Bebop, le film",2001-09-01,748,2526,42,1192,5,6,23,76,164,610,1796,1967,715,199
419376,Anna Karénine,2012-09-07,625,2755,124,1385,43,69,193,414,806,1379,1490,809,274,88
496474,Attack the Block,2011-05-13,614,1003,145,979,57,102,192,400,771,1624,1682,616,85,37
385833,La Reine Margot,1994-05-13,683,2183,62,1741,26,42,100,210,502,1142,1704,1214,452,176
469599,2046,2004-05-20,734,4980,62,2254,21,35,65,156,317,697,1466,1582,831,398
461055,Mission,1986-09-29,737,3123,74,2595,10,26,38,102,274,773,1640,1800,652,254
362769,Notre jour viendra,2010-09-15,652,2257,113,764,43,79,155,251,586,1176,1692,1126,357,106
446340,Belle de jour,1967-05-24,730,3083,53,1948,14,14,39,102,288,826,1827,1709,570,183
394625,Les Aventures du baron de Münchausen,1988-12-08,727,2541,44,1912,10,15,53,131,310,879,1763,1615,589,208
426971,Halloween,2007-10-10,627,1091,82,1816,61,98,174,321,793,1460,1650,739,215,62
375614,Paperman,2012-11-02,778,1031,48,959,4,10,32,62,152,432,1423,2066,1002,395
485189,Le Samouraï,1967-10-25,765,2850,64,2697,4,6,23,67,244,588,1542,1891,891,325
444618,Cube² : Hypercube,2002-08-29,430,490,49,461,335,667,898,1109,1094,857,458,131,21,12
24572452,Le Brio,2017-11-22,616,1179,93,836,59,60,121,296,720,1577,1751,719,180,99
495937,Harold & Kumar chassent le burger,2004-05-20,619,689,30,777,85,108,196,319,680,1442,1670,797,198,88
378035,Je vous trouve très beau,2005-11-07,568,417,34,349,54,145,254,557,1182,1733,1232,366,42,21
394159,Dark Water,2002-01-19,665,1838,46,1547,24,62,127,274,607,1267,1832,1005,308,80
431065,Johnny English : Le Retour,2011-09-15,507,370,63,558,134,274,450,843,1274,1391,856,281,56,29
17309087,Instinct de survie,2016-06-22,516,802,201,1236,137,271,526,756,1269,1456,814,256,55,54
25162083,Dans la brume,2018-04-04,590,3033,169,1687,44,107,266,458,972,1676,1498,462,80,35
474985,Confessions d'une accro du shopping,2009-02-05,463,391,45,499,273,449,685,934,1160,1052,677,255,75,46
406686,Last Days,2005-05-13,601,3268,78,1234,121,212,285,501,844,1217,1244,771,300,112
440101,Le Trou,1960-03-18,844,6597,77,3609,13,3,5,9,50,146,717,2146,1944,574
395397,Fanfan la Tulipe,2003-05-14,442,251,26,379,265,497,785,1145,1228,948,526,156,41,23
12738742,Hardcore Henry,2016-04-08,606,2413,141,1337,89,145,281,457,791,1291,1428,834,217,87
455972,The Thing,2011-10-12,544,861,181,1206,115,202,409,728,1176,1534,979,356,83,39
411573,Talons aiguilles,1991-10-23,704,1794,26,1268,13,21,59,115,316,923,2013,1551,467,153
11529469,Baby Boss,2017-03-29,562,742,75,1026,66,129,280,584,1153,1719,1204,353,83,61
424918,Kramer contre Kramer,1979-12-17,716,2288,48,1772,10,8,27,86,298,911,2255,1507,394,140
364315,Jin-Roh - La Brigade des loups,1999-11-17,745,3662,63,1911,6,13,37,85,256,714,1696,1898,721,216
496480,Grindhouse,2007-04-06,727,1626,8,512,8,14,50,71,289,842,2063,1672,491,143
12817350,American Nightmare 3 : Élections,2016-06-29,517,840,97,982,110,199,482,803,1322,1464,878,256,78,52
493724,Red 2,2013-07-19,550,624,93,889,63,137,331,608,1301,1770,1037,316,54,28
8458851,Albert à l'Ouest,2014-05-30,542,775,154,1053,143,262,412,690,1043,1510,1113,377,73,23
20328192,Toni Erdmann,2016-07-14,696,4494,125,1904,24,47,109,212,450,874,1635,1515,620,169
497832,"The Barber, l'homme qui n'était pas là",2001-10-26,738,3446,63,2493,13,17,36,81,264,713,1875,1924,565,172
380647,Octopussy,1983-06-06,597,545,68,1190,28,64,166,462,1109,1876,1416,444,69,29
380806,Astérix le Gaulois,1967-12-00,622,266,28,618,19,41,106,276,1008,2016,1562,489,98,53
389148,The Yards,2000-10-12,730,3244,60,2148,9,12,35,71,283,892,1986,1795,470,116
493513,Paranormal Activity 2,2010-10-20,421,266,123,642,505,656,818,1018,1063,922,481,165,29,15
12541325,La Face cachée de Margo,2015-06-05,520,994,65,615,108,250,459,868,1349,1408,846,285,66,35
8864562,Le Juge,2014-10-10,662,1757,117,1008,10,30,84,207,585,1394,2013,1030,247,83
445929,Vous allez rencontrer un bel et sombre inconnu,2010-10-06,561,1694,162,839,55,118,278,684,1321,1743,1050,346,72,20
13132614,La Isla Mínima,2014-09-26,699,3212,140,1351,7,13,23,104,313,1095,2262,1503,310,57
398983,Ridicule,1996-05-09,686,1402,49,1180,20,38,84,187,385,1068,2157,1358,311,84
436799,Le Dernier Samaritain,1991-12-13,641,1048,51,1655,24,47,114,335,814,1631,1784,707,170,71
377491,Les Âmes vagabondes,2013-03-22,485,714,159,850,217,373,577,900,1116,1157,813,356,116,75
369638,Ran,1985-06-01,802,4988,70,3899,21,10,28,66,145,380,1048,1996,1382,626
411260,Le Jaguar,1996-10-09,467,286,16,426,232,373,689,1088,1323,1182,591,177,32,19
493594,À la poursuite du diamant vert,1984-03-30,622,857,44,1158,18,52,128,328,902,2011,1683,474,78,33
17060937,La Fille du train,2016-10-05,587,2028,116,931,38,77,229,508,1025,1761,1421,512,112,30
498132,Koyaanisqatsi,1983-08-24,807,7146,112,2921,32,25,52,65,174,311,917,1671,1485,986
459716,Fievel et le Nouveau Monde,1986-11-21,709,1221,22,1107,13,13,34,97,378,1083,2143,1406,400,152
453617,Course à la mort,2008-10-15,471,308,88,719,181,401,761,1105,1255,1142,617,178,45,36
389251,Elle s'appelle Ruby,2012-10-03,670,1849,132,1063,9,44,84,213,503,1389,2088,1038,282,72
394399,Monsters,2010-12-03,634,2455,297,1286,63,118,221,387,703,1388,1673,918,203,48
396344,Deux heures moins le quart avant Jésus-Christ,1982-10-06,613,1033,52,858,53,102,212,393,857,1616,1545,693,185,70
487434,La Pianiste,2001-09-05,683,3614,59,1425,54,75,128,252,447,959,1667,1372,559,213
420871,Presto,2008-07-30,781,701,32,1093,5,6,11,28,126,490,1485,2303,990,283
23286928,Mortal Engines,2018-12-12,528,2702,177,1416,67,189,485,881,1374,1417,910,330,53,23
414580,Bridget Jones Baby,2016-09-14,546,751,85,949,108,212,351,644,1109,1533,1124,461,116,72
23189184,Monsieur & Madame Adelman,2017-03-08,698,2214,75,1380,21,43,89,120,313,837,1982,1628,537,160
461688,Ghosts of Mars,2001-08-24,514,793,102,1107,185,308,571,913,1286,1304,840,256,50,18
453139,Bandidas,2006-01-18,438,283,39,500,219,496,833,1247,1368,996,416,124,23,10
498143,Le Baiser mortel du dragon,2001-08-01,551,358,31,590,94,203,369,696,1134,1586,1124,393,96,42
1375610,Millénium 2 : La Fille qui rêvait d'un bidon d'essence et d'une allumette,2009-00-00,668,1128,56,760,32,39,81,200,507,1319,2127,1065,277,90
378789,Fantasia 2000,2000-01-01,700,1021,21,1105,20,36,78,168,447,984,1878,1381,527,220
13148597,Taxi Téhéran,2015-08-18,678,3931,137,1288,16,36,102,186,465,1194,1971,1279,401,100
458811,Canine,2009-12-02,696,4409,113,1370,47,67,106,222,426,829,1677,1514,668,197
373061,Les Hommes du président,1976-04-09,745,3377,55,2502,5,4,23,51,208,687,2027,2079,533,140
419305,Monster,2003-12-24,694,2638,65,1404,14,27,71,135,436,1162,2125,1342,341,104
481648,Le Patient anglais,1996-11-15,678,2572,42,1715,23,48,98,205,467,1137,1913,1241,445,180
486015,Excalibur,1981-04-10,716,2076,90,2395,14,34,92,175,405,948,1779,1458,581,273
13613716,Le Fils de Saul,2015-06-11,708,5325,155,1805,34,34,92,186,453,907,1573,1556,693,233
412288,Agora,2009-10-09,664,2240,124,1528,36,61,144,297,668,1223,1740,1170,323,101
489233,La Tour sombre,2017-08-09,462,2798,172,1405,174,366,747,1236,1427,1146,477,143,25,25
497368,Speed Racer,2008-05-09,590,1514,127,1745,151,217,375,574,852,1101,1266,797,295,140
372136,Next,2007-04-25,474,312,74,622,185,469,700,971,1248,1179,728,225,48,20
452381,Jack le chasseur de géants,2013-03-01,494,579,162,870,125,262,560,1121,1548,1330,646,139,26,17
433689,Fish Tank,2009-09-16,705,3305,74,1299,12,39,67,138,347,1028,2084,1538,417,106
21062684,Le Redoutable,2017-09-13,643,4427,104,1942,59,67,133,282,531,1285,2033,1121,215,50
412969,Opération Tonnerre,1965-12-11,665,653,75,2071,10,13,56,162,649,1733,2196,744,168,65
